title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
Cold Sassy Tree,Olive Ann Burns,'B003K15II0,003150,Invalid Length (not 10 or 13 after cleaning)
The Restaurant at the End of the Universe,Douglas Adams,,,Invalid Length (not 10 or 13 after cleaning)
Pale Fire,Vladimir Nabokov,,,Invalid Length (not 10 or 13 after cleaning)
Daughter of the Forest,Juliet Marillier (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Illusions: The Adventures of a Reluctant Messiah,Richard Bach (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Wild Swans: Three Daughters of China,Jung Chang,,,Invalid Length (not 10 or 13 after cleaning)
The Dark Tower,"Stephen King (Goodreads Author), Michael Whelan (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Christy,Catherine Marshall,'B0745KTJSY,0745,Invalid Length (not 10 or 13 after cleaning)
Shadow and Bone,Leigh Bardugo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Connecticut Yankee in King Arthur's Court,Mark Twain,,,Invalid Length (not 10 or 13 after cleaning)
"84, Charing Cross Road",Helene Hanff,,,Invalid Length (not 10 or 13 after cleaning)
How Green Was My Valley,Richard Llewellyn,,,Invalid Length (not 10 or 13 after cleaning)
A Moveable Feast,Ernest Hemingway,,,Invalid Length (not 10 or 13 after cleaning)
Onyx,Jennifer L. Armentrout (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Ugly Love,Colleen Hoover (Goodreads Author),'B00HB62MC0,00620,Invalid Length (not 10 or 13 after cleaning)
Sharp Objects,Gillian Flynn (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,'B00OICLVBI,00,Invalid Length (not 10 or 13 after cleaning)
Sapiens: A Brief History of Humankind,Yuval Noah Harari,,,Invalid Length (not 10 or 13 after cleaning)
Silas Marner,George Eliot,,,Invalid Length (not 10 or 13 after cleaning)
Childhood's End,Arthur C. Clarke,,,Invalid Length (not 10 or 13 after cleaning)
Thus Spoke Zarathustra,"Friedrich Nietzsche, Walter Kaufmann (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Safe Haven,Nicholas Sparks (Goodreads Author),'B003JTHXOK,003,Invalid Length (not 10 or 13 after cleaning)
An Ember in the Ashes,Sabaa Tahir (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Tempest,"William Shakespeare, Paul Werstine (Editor), David Lindley (Editor), Israel Gollancz (Preface & Glossary), Barbara A. Mowat (Editor)",,,Invalid Length (not 10 or 13 after cleaning)
The Dispossessed,Ursula K. Le Guin,,,Invalid Length (not 10 or 13 after cleaning)
The Pilgrim's Progress,John Bunyan,,,Invalid Length (not 10 or 13 after cleaning)
The Great Divorce,C.S. Lewis,,,Invalid Length (not 10 or 13 after cleaning)
Point of Retreat,Colleen Hoover (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Dirk Gently's Holistic Detective Agency,Douglas Adams,,,Invalid Length (not 10 or 13 after cleaning)
On Dublin Street,Samantha Young (Goodreads Author),'B0094J01VG,009401,Invalid Length (not 10 or 13 after cleaning)
The Collector,John Fowles,,,Invalid Length (not 10 or 13 after cleaning)
The Mysterious Benedict Society,Trenton Lee Stewart (Goodreads Author),'B000SEHIB2,0002,Invalid Length (not 10 or 13 after cleaning)
Till We Have Faces,C.S. Lewis,,,Invalid Length (not 10 or 13 after cleaning)
The Forty Rules of Love,Elif Shafak (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Una Historia de Ayer,Sergio Cobo,'B00IUPH39I,0039,Invalid Length (not 10 or 13 after cleaning)
"More Than Love, A Husband's Tale",Peter B. Forster (Goodreads Author),'B082ZXXN48,08248,Invalid Length (not 10 or 13 after cleaning)
Forever,Maggie Stiefvater (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",Kathleen Zamboni McCormick (Goodreads Author),'B0187OW2OM,01872,Invalid Length (not 10 or 13 after cleaning)
Pleasant Day,Vera Jane Cook (Goodreads Author),'B07PM8Z18S,07818,Invalid Length (not 10 or 13 after cleaning)
Fallen Too Far,Abbi Glines (Goodreads Author),'B00AOTGI08,0008,Invalid Length (not 10 or 13 after cleaning)
Red Dragon,Thomas Harris,,,Invalid Length (not 10 or 13 after cleaning)
The Evolution of Mara Dyer,Michelle Hodkin (Goodreads Author),'B007EDOSKY,007,Invalid Length (not 10 or 13 after cleaning)
The Choice,Nicholas Sparks (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Book of Disquiet: The Complete Edition,Fernando Pessoa,'B06Y3NWTJ9,0639,Invalid Length (not 10 or 13 after cleaning)
The Celestine Prophecy,James Redfield,,,Invalid Length (not 10 or 13 after cleaning)
Tai-Pan,James Clavell,,,Invalid Length (not 10 or 13 after cleaning)
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib (Goodreads Author),'B07D7HQ53C,07753,Invalid Length (not 10 or 13 after cleaning)
Chasing the Red Queen,Karen Glista,'B079KJFJW8,0798,Invalid Length (not 10 or 13 after cleaning)
Losing Hope,Colleen Hoover (Goodreads Author),'B00BOVFKOK,00,Invalid Length (not 10 or 13 after cleaning)
